product,md_one,md_two,md_three,md_four,md_five,new_srp
0371151-4,0,0,0,0,,0
0371152-4,0,0,0,0,,0
0371153-3,0,0,0,0,,0
0371154-8,0,0,0,0,,1799.75
0371156-9,0,0,0,0,,0
0371159-9,0,0,0,0,,0
0371160-17,0,0,0,0,,0
0371164-16,0,0,0,0,,0
0371167-4,500,0,0,0,,0
0371168-4,500,0,0,0,,0
0371169-6,0,0,0,0,,1499
0371170-6,0,0,0,0,,1499
0371171-6,0,0,0,0,,1499
0371172-6,0,0,0,0,,1499
0371173-6Bk,0,0,0,0,,1299
0371174-6,800,500,0,0,,1299.75
0371176-7,750,0,0,0,,1499.75
0371176-7Bk,750,0,0,0,,0
0371177-6Bk,0,0,0,0,,1499
0371177-6GB,0,0,0,0,,1499
0371178-6GB,0,0,0,0,,1499
0371179-6Bk,0,0,0,0,,1499
0371179-6GB,0,0,0,0,,1499
0371179-7,0,0,0,0,,1299
0371180-8,0,0,0,0,,0
0371181-8GB,0,0,0,0,,0
0371182-5,0,0,0,0,,0
0371183-5GB,0,0,0,0,,0
0371184-10,1200,0,0,0,,0
0371185-10,1200,0,0,0,,0
0371186-10,1200,0,0,0,,0
0371187-10,1200,0,0,0,,0
0371188-10,1200,0,0,0,,0
0371189-10,0,0,0,0,,0
0371191-15,2000,0,0,0,,0
0371210-5,0,0,0,0,,1299
0371212-5,0,0,0,0,,1299
0371213-5,0,0,0,0,,1299
0371214-5,0,0,0,0,,1299
0371215-5,0,0,0,0,,0
0371216-5,0,0,0,0,,0
0371240-3,0,0,0,0,,0
0371241-3,0,0,0,0,,0
0371275-4Bk,500,0,0,0,,0
0371338-9,0,0,0,0,,2499.75
0371449-7,1400,1000,0,0,,0
0371450-7,1400,1000,0,0,,0
0371454-6,800,0,0,0,,1499
0371455-10,1000,0,0,0,,0
0371456-10,0,0,0,0,,0
0371458-12,0,0,0,0,,0
0371461-6,0,0,0,0,,1999.75
0371462-6,0,0,0,0,,1799.75
0371465-5,0,0,0,0,,1299
0371469-5,0,0,0,0,,1299
0371471-3,0,0,0,0,,0
0371472-3,0,0,0,0,,0
0371480-3,0,0,0,0,,0
0371481-5,0,0,0,0,,1299
0371520-6,0,0,0,0,,1999.75
0371522-13,0,0,0,0,,3499.75
0371523-6,0,0,0,0,,1999.75
0371525-9,0,0,0,0,,2499.75
0371527-9,1000,0,0,0,,2499.75
0371528-9,0,0,0,0,,2499.75
0371529-9,0,0,0,0,,2499.75
0371530-9,0,0,0,0,,2499.75
0371532-9,0,0,0,0,,2499.75
0371579-6,0,0,0,0,,1299
0371586-6,0,0,0,0,,1299
0371587-6,500,0,0,0,,0
0371597-6,0,0,0,0,,1299
0371690-7,0,0,0,0,,0
0371691-7,0,0,0,0,,0
0371776-3,0,0,0,0,,1299
0371779-4,750,500,0,0,,0
0371837-12,0,0,0,0,,0
0371839-16,5000,0,0,0,,0
0371840-16,5000,0,0,0,,0
0371844-9,0,0,0,0,,0
0371846-9,0,0,0,0,,0
0371851-7,0,0,0,0,,0
