id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,M1653-12,SMH Cebu,SMHCE/Stock,1.00
,M1954-32,SMH Cebu,SMHCE/Stock,1.00
,M1909-29,SMH Cebu,SMHCE/Stock,1.00
,M1909-35,SMH Cebu,SMHCE/Stock,1.00
,1324166-10,SMH Cebu,SMHCE/Stock,1.00
,W21738-12,OH North Edsa,OHNE/Stock,1.00
,123256-10,SMH North Edsa,SMHNE/Stock,1.00
,1322081-8,SMH North Edsa,SMHNE/Stock,1.00
,124031-15,SMH North Edsa,SMHNE/Stock,2.00
,123403-7,SMH North Edsa,SMHNE/Stock,1.00
,123411-12,SMH North Edsa,SMHNE/Stock,1.00
,W21686-8,OH Pampanga,OHPAM/Stock,1.00
,W21687-8,OH Pampanga,OHPAM/Stock,1.00
,W21690-12,OH Pampanga,OHPAM/Stock,2.00
,W21721-8,OH Pampanga,OHPAM/Stock,2.00
,W21738-12,OH Pampanga,OHPAM/Stock,2.00
,D21016-10,OH Pampanga,OHPAM/Stock,1.00
,123093-4,OH Pampanga,OHPAM/Stock,1.00
,1223068-2,OH Pampanga,OHPAM/Stock,1.00
,M21058-19,OH Pampanga,OHPAM/Stock,2.00
,123100-3,OH Pampanga,OHPAM/Stock,1.00
,122039-8,SMH Pampanga,SMHPA/Stock,1.00
,124016-12,SMH Pampanga,SMHPA/Stock,1.00
,123402-7,SMH Pampanga,SMHPA/Stock,1.00
,1123141-1,OH Mall of Asia,OHMOA/Stock,1.00
,1223067-2,OH Mall of Asia,OHMOA/Stock,1.00
,1322071-8,OH Mall of Asia,OHMOA/Stock,1.00
,123258-10,SMH Mall of Asia,SMHMO/Stock,1.00
,W21359-8,SMH Mall of Asia,SMHMO/Stock,1.00
,W22064-12,SMH Mall of Asia,SMHMO/Stock,1.00
,123256-10,SMH Clark,SMHCL/Stock,2.00
,123258-10,SMH Clark,SMHCL/Stock,2.00
,122041-10,SMH Clark,SMHCL/Stock,2.00
,124090-6,SMH Clark,SMHCL/Stock,1.00
,124091-6 ,SMH Clark,SMHCL/Stock,1.00
,124092-6,SMH Clark,SMHCL/Stock,1.00
,1123142-1,OH Clark,OHCLK/Stock,1.00
,1223056-1,OH Clark,OHCLK/Stock,2.00
,1223068-2,OH Clark,OHCLK/Stock,1.00
,W21687-8,OH Clark,OHCLK/Stock,1.00
,123099-3,OH Clark,OHCLK/Stock,2.00
,1223067-2,OH Dasma,OHDAS/Stock,1.00
,D1946-20G,OH Dasma,OHDAS/Stock,1.00
,W21688-12,OH Dasma,OHDAS/Stock,1.00
,W21719-8,OH Dasma,OHDAS/Stock,1.00
,W21720-12,OH Dasma,OHDAS/Stock,1.00
,W21738-12,OH Dasma,OHDAS/Stock,1.00
,123298-10,OH Dasma,OHDAS/Stock,1.00
,924065-1,OH Dasma,OHDAS/Stock,4.00
,924066-1,OH Dasma,OHDAS/Stock,4.00
,1223101-3,OH Dasma,OHDAS/Stock,1.00
,1223101-3,OH Baguio,OHBAG/Stock,1.00
,123256-10,SMH Davao,SMHDV/Stock,2.00
,W22122-12,SMH Davao,SMHDV/Stock,2.00
,W21360-8,SMH Davao,SMHDV/Stock,1.00
,W22064-12,SMH Davao,SMHDV/Stock,1.00
,123280-11,SMH Davao,SMHDV/Stock,1.00
,124026-10,SMH Davao,SMHDV/Stock,1.00
,123283-11,SMH Davao,SMHDV/Stock,1.00
,1336324-15,SMH Davao,SMHDV/Stock,1.00
,1336325-15,SMH Davao,SMHDV/Stock,1.00
,W22122-12,SMH Mandurriao,SMHMD/Stock,1.00
,1324172-15,SMH Mandurriao,SMHMD/Stock,1.00
,W21360-8,SMH Mandurriao,SMHMD/Stock,1.00
,123401-7,SMH Mandurriao,SMHMD/Stock,1.00
,W21687-8,OH Fairview,OHFV/Stock,1.00
,W21689-12,OH Fairview,OHFV/Stock,1.00
,W21720-12,OH Fairview,OHFV/Stock,1.00
,W21738-12,OH Fairview,OHFV/Stock,1.00
,1322083-8,SMH Pampanga,SMHPA/Stock,2.00
,W21120-8,SMH Lipa,SMHLI/Stock,1.00
,1223056-1,OH Megamall,OHMEG/Stock,2.00
,1223067-2,OH Megamall,OHMEG/Stock,2.00
,D21023-10G,OH Megamall,OHMEG/Stock,2.00
,124042-16,OH Megamall,OHMEG/Stock,2.00
,1324193-10,OH Megamall,OHMEG/Stock,2.00
,123434-12,OH Megamall,OHMEG/Stock,1.00
,W21682-12,OH Megamall,OHMEG/Stock,1.00
,W21721-8,OH Megamall,OHMEG/Stock,1.00
,W21686-8,OH Cabanatuan,OHCAB/Stock,2.00
,W21688-12,OH Cabanatuan,OHCAB/Stock,1.00
,W21689-12,OH Cabanatuan,OHCAB/Stock,1.00
,W21738-12,OH Cabanatuan,OHCAB/Stock,2.00
,1223056-1,OH Cabanatuan,OHCAB/Stock,1.00
,W22031-25,SMH Ortigas,SMHOR/Stock,1.00
,123281-19,SMH Ortigas,SMHOR/Stock,1.00
,122041-10,SMH Ortigas,SMHOR/Stock,1.00
,122037-8,SMH Ortigas,SMHOR/Stock,2.00
,123280-11,SMH Ortigas,SMHOR/Stock,1.00
,1322103-13,SMH Ortigas,SMHOR/Stock,1.00
,1322083-8,SMH Ortigas,SMHOR/Stock,1.00
,W21692-12,SMH Ortigas,SMHOR/Stock,2.00
,W21694-12,SMH Ortigas,SMHOR/Stock,1.00
,123283-11,SMH Ortigas,SMHOR/Stock,2.00
,123256-10,SMH Ortigas,SMHOR/Stock,1.00
,W22026-25 ,SMH Makati,SMHMK/Stock,2.00
,122041-10,SMH Makati,SMHMK/Stock,1.00
,123280-11,SMH Makati,SMHMK/Stock,2.00
,W21694-12,SMH Makati,SMHMK/Stock,1.00
,124026-10,SMH Makati,SMHMK/Stock,1.00
,D21013-5N,SMH Makati,SMHMK/Stock,2.00
,123256-10,SMH Makati,SMHMK/Stock,1.00
,123258-10,SMH Makati,SMHMK/Stock,1.00
,124031-15,SMH Makati,SMHMK/Stock,2.00
,W22064-12,SMH Makati,SMHMK/Stock,1.00
,924013-3,OH Urdaneta,OHURD/Stock,1.00
,W21687-8,OH Sta. Rosa,OHSTR/Stock,1.00
,W21689-12,OH Sta. Rosa,OHSTR/Stock,1.00
,W21719-8,OH Sta. Rosa,OHSTR/Stock,1.00
,W21721-8,OH Sta. Rosa,OHSTR/Stock,1.00
,1324193-10,OH Sta. Rosa,OHSTR/Stock,2.00
,M1909-29,OH Sta. Rosa,OHSTR/Stock,1.00
,923009-3,OH Sta. Rosa,OHSTR/Stock,1.00
,M1909-35,OH Cebu,OHCEB/Stock,1.00
,124024-10,SMH Lipa,SMHLI/Stock,1.00
,124026-10,SMH Lipa,SMHLI/Stock,1.00
,W21359-8,SMH Lipa,SMHLI/Stock,1.00
,124013-12,SMH Lipa,SMHLI/Stock,1.00
,123401-7,SMH Lipa,SMHLI/Stock,1.00
,123402-7,SMH Lipa,SMHLI/Stock,1.00
,123434-12,OH Lucena,OHLUC/Stock,1.00
,123435-12,OH Lucena,OHLUC/Stock,1.00
,W21738-12,OH Lucena,OHLUC/Stock,2.00
,1123140-2,OH Lucena,OHLUC/Stock,1.00
,1123141-1,OH Lucena,OHLUC/Stock,1.00
,1123142-1,OH Lucena,OHLUC/Stock,1.00
,123434-12,OH Batangas,OHBAT/Stock,1.00
,W21721-8,OH Batangas,OHBAT/Stock,2.00
,W22026-25 ,SMH Mall of Asia,SMHMO/Stock,2.00
,W22031-25,SMH Mall of Asia,SMHMO/Stock,1.00
,W22033-25,SMH Mall of Asia,SMHMO/Stock,2.00
,W21355-8,SMH Mall of Asia,SMHMO/Stock,2.00
,W21720-12,OH Urdaneta,OHURD/Stock,2.00
,W21689-12,OH Baguio,OHBAG/Stock,1.00
,124042-16,OH Baguio,OHBAG/Stock,1.00
,W16446-6,SMH Mall of Asia,SMHMO/Stock,1.00
,123434-12,OH Davao,OHDV/Stock,1.00
,W21686-8,OH Davao,OHDV/Stock,1.00
,W21689-12,OH Davao,OHDV/Stock,1.00
,124042-16,OH Davao,OHDV/Stock,1.00
,1324216-4,OH Davao,OHDV/Stock,1.00
,D21018-12,OH Davao,OHDV/Stock,1.00
,W21363-8,OH Davao,OHDV/Stock,2.00
,1223056-1,OH Davao,OHDV/Stock,2.00
,1223067-2,OH Davao,OHDV/Stock,1.00
,923034-3,OH Bacolod,OHBCD/Stock,1.00
,123309-12,OH Mall of Asia,OHMOA/Stock,1.00
,123377-3,OH Mall of Asia,OHMOA/Stock,1.00
,123376-3,OH Mall of Asia,OHMOA/Stock,1.00
,123378-3,OH Mall of Asia,OHMOA/Stock,1.00
,123441-4,OH Mall of Asia,OHMOA/Stock,1.00
,123456-6,SMH Mall of Asia,SMHMO/Stock,2.00
,D18115-10,SMH Mall of Asia,SMHMO/Stock,2.00
,D18136-20,SMH Lipa,SMHLI/Stock,1.00
,D18138-14,SMH Lipa,SMHLI/Stock,1.00
,123123-12,SMH Lipa,SMHLI/Stock,1.00
,D18115-10,SMH Lipa,SMHLI/Stock,1.00
,D18119-10,SMH Lipa,SMHLI/Stock,1.00
,122023-4,OH Lucena,OHLUC/Stock,1.00
,122027-13,OH Lucena,OHLUC/Stock,1.00
,123428-8,OH Lucena,OHLUC/Stock,1.00
,123376-3,OH Lucena,OHLUC/Stock,1.00
,1324005-7,SMH North Edsa,SMHNE/Stock,1.00
,D21062-7N,SMH North Edsa,SMHNE/Stock,2.00
,123470-8,SMH North Edsa,SMHNE/Stock,1.00
,123471-8,SMH North Edsa,SMHNE/Stock,2.00
,123284-19,SMH North Edsa,SMHNE/Stock,1.00
,D1971-10,OH Megamall,OHMEG/Stock,1.00
,123308-12,OH Megamall,OHMEG/Stock,1.00
,123309-12,OH Megamall,OHMEG/Stock,1.00
,123372-17,OH Megamall,OHMEG/Stock,1.00
,123441-4,OH Megamall,OHMEG/Stock,0.00
,1324046-7,SMH Ortigas,SMHOR/Stock,1.00
,W22026-25 ,SMH Ortigas,SMHOR/Stock,2.00
,123458-6,SMH Ortigas,SMHOR/Stock,1.00
,123416-7,OH Sta. Rosa,OHSTR/Stock,1.00
,D1981-15,OH Pampanga,OHPAM/Stock,1.00
,122026-13,OH Pampanga,OHPAM/Stock,1.00
,123376-3,OH Pampanga,OHPAM/Stock,1.00
,123378-3,OH Pampanga,OHPAM/Stock,1.00
,123379-3,OH Pampanga,OHPAM/Stock,1.00
,123440-4,OH Pampanga,OHPAM/Stock,1.00
,D21031-8,SMH Pampanga,SMHPA/Stock,1.00
,122022-4,OH Bacolod,OHBCD/Stock,1.00
,1223067-2,OH Bacolod,OHBCD/Stock,1.00
,D21018-12,OH Bacolod,OHBCD/Stock,1.00
,W21682-12,OH Bacolod,OHBCD/Stock,1.00
,W21688-12,OH Bacolod,OHBCD/Stock,1.00
,W21689-12,OH Bacolod,OHBCD/Stock,1.00
,123093-4,OH Bacolod,OHBCD/Stock,1.00
,W21430-8,OH Bacolod,OHBCD/Stock,1.00
,W22062-12,OH Bacolod,OHBCD/Stock,2.00
,W19185-13,OH Bacolod,OHBCD/Stock,2.00
,824011-11,OH Bacolod,OHBCD/Stock,2.00
,123094-4,OH Bacolod,OHBCD/Stock,1.00
,123098-3,OH Bacolod,OHBCD/Stock,1.00
,123441-4,OH Lanang,OHLAN/Stock,1.00
,123445-4,OH Lanang,OHLAN/Stock,1.00
,123448-4,OH Lanang,OHLAN/Stock,1.00
,123506-4,OH Lanang,OHLAN/Stock,2.00
,122022-4,OH Lanang,OHLAN/Stock,1.00
,122023-4,OH Lanang,OHLAN/Stock,1.00
,D20023-5,OH Lanang,OHLAN/Stock,1.00
,D20024-5,OH Lanang,OHLAN/Stock,1.00
,123308-12,OH Lanang,OHLAN/Stock,1.00
,123309-12,OH Lanang,OHLAN/Stock,1.00
,823016-10,OH Lanang,OHLAN/Stock,1.00
,123099-3,OH Lanang,OHLAN/Stock,2.00
,1223102-2,OH Lanang,OHLAN/Stock,1.00
,123092-4,OH Lanang,OHLAN/Stock,1.00
,1324216-4,OH Lanang,OHLAN/Stock,1.00
,1324217-4,OH Lanang,OHLAN/Stock,2.00
,W21430-8,OH Lanang,OHLAN/Stock,1.00
,122026-13,OH Fairview,OHFV/Stock,1.00
,122027-13,OH Fairview,OHFV/Stock,1.00
,123309-12,OH Fairview,OHFV/Stock,1.00
,123445-4,OH Clark,OHCLK/Stock,1.00
,D18115-10,SMH Clark,SMHCL/Stock,1.00
,D18117-10,SMH Clark,SMHCL/Stock,1.00
,D18119-10,SMH Clark,SMHCL/Stock,1.00
,123123-12,SMH Clark,SMHCL/Stock,1.00
,1324005-7,SMH Clark,SMHCL/Stock,2.00
,1324046-7,SMH Clark,SMHCL/Stock,1.00
,W22026-25 ,SMH Clark,SMHCL/Stock,2.00
,123325-10,SMH Las Pinas,SMHLP/Stock,1.00
,123326-10,SMH Las Pinas,SMHLP/Stock,1.00
,D18119-10,SMH Las Pinas,SMHLP/Stock,1.00
,123455-6,SMH Las Pinas,SMHLP/Stock,1.00
,123456-6,SMH Las Pinas,SMHLP/Stock,1.00
,123457-6,SMH Las Pinas,SMHLP/Stock,1.00
,123470-8,SMH Las Pinas,SMHLP/Stock,1.00
,122041-10,SMH Las Pinas,SMHLP/Stock,1.00
,122037-8,SMH Las Pinas,SMHLP/Stock,1.00
,122038-8,SMH Las Pinas,SMHLP/Stock,2.00
,W21356-8,SMH Las Pinas,SMHLP/Stock,1.00
,W21359-8,SMH Las Pinas,SMHLP/Stock,1.00
,124090-6,SMH Las Pinas,SMHLP/Stock,1.00
,123256-10,SMH Las Pinas,SMHLP/Stock,1.00
,123308-12,OH Dasma,OHDAS/Stock,1.00
,123309-12,OH Dasma,OHDAS/Stock,1.00
,122023-4,OH Dasma,OHDAS/Stock,1.00
,122026-13,OH Dasma,OHDAS/Stock,1.00
,123428-8,OH Baguio,OHBAG/Stock,1.00
,123445-4,OH Baguio,OHBAG/Stock,1.00
,D1981-15,OH Baguio,OHBAG/Stock,1.00
,D1946-20G,OH Baguio,OHBAG/Stock,1.00
,123455-6,SMH Cubao,SMHCU/Stock,1.00
,123457-6,SMH Cubao,SMHCU/Stock,1.00
,123470-8,SMH Cubao,SMHCU/Stock,1.00
,D21009-5N,SMH Cubao,SMHCU/Stock,1.00
,122041-10,SMH Cubao,SMHCU/Stock,1.00
,W21692-12,SMH Cubao,SMHCU/Stock,1.00
,1323140-10,SMH Cubao,SMHCU/Stock,2.00
,1323141-10,SMH Cubao,SMHCU/Stock,1.00
,W22074-12,SMH Cubao,SMHCU/Stock,1.00
,W22075-12,SMH Cubao,SMHCU/Stock,1.00
,123123-12,SMH Makati,SMHMK/Stock,2.00
,123124-7,SMH Makati,SMHMK/Stock,2.00
,123456-6,SMH Makati,SMHMK/Stock,1.00
,123457-6,SMH Makati,SMHMK/Stock,1.00
,D18115-10,SMH Makati,SMHMK/Stock,1.00
,123326-10,SMH Makati,SMHMK/Stock,1.00
,M1917-34,SMH Makati,SMHMK/Stock,3.00
,M21058-19,SMH Makati,SMHMK/Stock,3.00
,1322070-10,SMH Makati,SMHMK/Stock,1.00
,1322081-8,SMH Makati,SMHMK/Stock,2.00
,824010-9,SMH Makati,SMHMK/Stock,4.00
,1324004-10,OH Lucena,OHLUC/Stock,1.00
,1123038-1,OH Bacoor,OHBCR/Stock,1.00
,1123039-1,OH Bacoor,OHBCR/Stock,2.00
,1123040-1,OH Bacoor,OHBCR/Stock,2.00
,1324006-10,OH Bacoor,OHBCR/Stock,1.00
,1324003-12,OH Bacoor,OHBCR/Stock,1.00
,124055-10,OH Bacoor,OHBCR/Stock,1.00
,124046-10,OH Bacoor,OHBCR/Stock,1.00
,124056-10,OH Bacoor,OHBCR/Stock,1.00
,124057-10,OH Bacoor,OHBCR/Stock,1.00
,D21017-7,OH Bacoor,OHBCR/Stock,2.00
,1123041-1,OH Bacoor,OHBCR/Stock,2.00
,1123042-1,OH Bacoor,OHBCR/Stock,1.00
,1324141-15,OH Bacoor,OHBCR/Stock,1.00
,1324143-15,OH Bacoor,OHBCR/Stock,1.00
,1324156-15,OH Bacoor,OHBCR/Stock,1.00
,123416-7,OH Bacoor,OHBCR/Stock,1.00
,124048-10,OH Cabanatuan,OHCAB/Stock,1.00
,124049-10,OH Cabanatuan,OHCAB/Stock,1.00
,1123042-1,OH Cabanatuan,OHCAB/Stock,1.00
,123416-7,OH Cabanatuan,OHCAB/Stock,3.00
,1324005-7,SMH Ortigas,SMHOR/Stock,2.00
,1324175-15,SMH Ortigas,SMHOR/Stock,1.00
,1322081-8,SMH Ortigas,SMHOR/Stock,2.00
,1324141-15,OH Megamall,OHMEG/Stock,2.00
,1324143-15,OH Megamall,OHMEG/Stock,2.00
,1324146-15,OH Megamall,OHMEG/Stock,2.00
,1324156-15,OH Megamall,OHMEG/Stock,2.00
,124055-10,OH Megamall,OHMEG/Stock,2.00
,124057-10,OH Megamall,OHMEG/Stock,2.00
,1123041-1,OH Megamall,OHMEG/Stock,1.00
,1123042-1,OH Megamall,OHMEG/Stock,2.00
,1324141-15,OH North Edsa,OHNE/Stock,1.00
,1324143-15,OH North Edsa,OHNE/Stock,1.00
,1324156-15,OH North Edsa,OHNE/Stock,1.00
,124055-10,OH North Edsa,OHNE/Stock,1.00
,124056-10,OH North Edsa,OHNE/Stock,1.00
,123325-10,SMH North Edsa,SMHNE/Stock,1.00
,123326-10,SMH North Edsa,SMHNE/Stock,1.00
,1323051-13,SMH North Edsa,SMHNE/Stock,1.00
,1323101-13,SMH North Edsa,SMHNE/Stock,1.00
,123008-18,SMH North Edsa,SMHNE/Stock,1.00
,123325-10,SMH Cebu,SMHCE/Stock,1.00
,1324005-7,SMH Cebu,SMHCE/Stock,1.00
,123256-10,SMH Cebu,SMHCE/Stock,1.00
,W22064-12,SMH Cebu,SMHCE/Stock,1.00
,W21694-12,SMH Cebu,SMHCE/Stock,1.00
,122026-13,OH Davao,OHDV/Stock,1.00
,122027-13,OH Davao,OHDV/Stock,1.00
,123372-17,OH Davao,OHDV/Stock,1.00
,123428-8,OH Davao,OHDV/Stock,1.00
,123506-4,OH Davao,OHDV/Stock,1.00
,D21023-10G,OH Mandurriao,OHMDR/Stock,1.00
,122026-13,OH Mandurriao,OHMDR/Stock,1.00
,122027-13,OH Mandurriao,OHMDR/Stock,1.00
,123309-12,OH Mandurriao,OHMDR/Stock,1.00
,1223056-1,OH Mandurriao,OHMDR/Stock,1.00
,124049-10,OH Mall of Asia,OHMOA/Stock,1.00
,1324143-15,OH Mall of Asia,OHMOA/Stock,1.00
,1324156-15,OH Mall of Asia,OHMOA/Stock,1.00
