id,Order Reference,Delivery Date,Product,Customer,Quantity,Unit Price,Description,Product Category,Weight,Salesperson,Type of Payment,Invoice Status,Order Status,Delivery Quantity,Barcode SKU,Subtotal,Variant SKU,Spatio Description
,SO 00320,5/27/2023 0:00,T18151-1,Rustan's DS Makati,1,"1,450.00",T18151-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"1,450.00",T18151-1,
,SO 00319,5/26/2023 0:00,T18151-1,Rustan's DS Makati,1,"1,450.00",T18151-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"1,450.00",T18151-1,
,SO 00318,5/25/2023 0:00,T21109-1,Rustan's DS Makati,1,"1,250.00",T21109-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,250.00",T21109-1,
,SO 00317,5/17/2023 0:00,T18155-1,Rustan's DS Makati,1,"2,250.00",T18155-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"2,250.00",T18155-1,
,SO 00316,5/13/2023 0:00,T18200-1,Rustan's DS Makati,1,525,T18200-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,525,T18200-1,
,SO 00315,5/11/2023 0:00,T18157-1,Rustan's DS Makati,1,"1,450.00",T18157-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,450.00",T18157-1,
,SO 00314,5/8/2023 0:00,RT15345-2,Rustan's DS Makati,2,"2,650.00",RT15345-2,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"5,300.00",RT15345-2,
,SO 00313,5/23/2023 0:00,T18236-1,Rustan's DS Ayala-Alabang,1,945,T18236-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,945,T18236-1,
,SO 00312,5/22/2023 0:00,709117-1S,Rustan's DS Ayala-Alabang,1,"1,750.00",709117-1S,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,750.00",709117-1S,
,SO 00311,5/13/2023 0:00,06020-1-801,Rustan's DS Ayala-Alabang,1,"1,550.00",06020-1-801,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"1,550.00",06020-1-801,
,SO 00310,5/6/2023 0:00,T21103-1,Rustan's DS Ayala-Alabang,1,945,T21103-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,945,T21103-1,
,SO 00309,4/30/2023 0:00,A1556-1,Rustan's FS Makati,1,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,1,,49.5,A1556-1,
,SO 00309,4/30/2023 0:00,T1921-1,Rustan's FS Makati,1,399.75,T1921-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,399.75,,
,SO 00309,4/30/2023 0:00,09356-140,Rustan's FS Makati,1,"1,999.75",09356-140,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,999.75",09356-140,
,SO 00309,4/30/2023 0:00,A1556-1,Rustan's FS Makati,12,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,12,,594,A1556-1,
,SO 00309,4/30/2023 0:00,A1556-1,Rustan's FS Makati,10,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,10,,495,A1556-1,
,SO 00309,4/30/2023 0:00,T1920-1,Rustan's FS Makati,2,399.75,T1920-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,799.5,T1920-1,
,SO 00309,4/30/2023 0:00,T1921-1,Rustan's FS Makati,4,399.75,T1921-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,599.00",,
,SO 00309,4/30/2023 0:00,A1556-1,Rustan's FS Makati,12,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,12,,594,A1556-1,
,SO 00309,4/30/2023 0:00,T1920-1,Rustan's FS Makati,5,399.75,T1920-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,998.75",T1920-1,
,SO 00309,4/30/2023 0:00,T1921-1,Rustan's FS Makati,2,399.75,T1921-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,799.5,,
,SO 00308,4/30/2023 0:00,A1556-1,Rustan's FS Shangrila,6,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,6,,297,A1556-1,
,SO 00308,4/30/2023 0:00,T16248-1,Rustan's FS Shangrila,1,179.75,T16248-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,179.75,T16248-1,
,SO 00307,4/30/2023 0:00,A1556-1,Rustan's FS Cebu,4,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,4,,198,A1556-1,
,SO 00307,4/30/2023 0:00,T1920-1,Rustan's FS Cebu,5,399.75,T1920-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,998.75",T1920-1,
,SO 00307,4/30/2023 0:00,T1921-1,Rustan's FS Cebu,2,399.75,T1921-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,799.5,,
,SO 00304,4/30/2023 0:00,T1960-1,Rustan's DS Shangrila,1,"4,350.00",T1960-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"4,350.00",T1960-1,
,SO 00303,4/24/2023 0:00,06020-1-801,Rustan's DS Shangrila,1,"1,550.00",06020-1-801,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,550.00",06020-1-801,
,SO 00302,4/14/2023 0:00,T1961-1,Rustan's DS Shangrila,1,"6,350.00",T1961-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"6,350.00",,
,SO 00301,4/12/2023 0:00,T18158-1,Rustan's DS Shangrila,1,"1,450.00",T18158-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,450.00",T18158-1,
,SO 00300,4/11/2023 0:00,T21109-1,Rustan's DS Shangrila,2,"1,250.00",T21109-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"2,500.00",T21109-1,
,SO 00299,4/30/2023 0:00,T18158-1,Rustan's DS Makati,1,"1,450.00",T18158-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"1,450.00",T18158-1,
,SO 00298,4/29/2023 0:00,T1951-1,Rustan's DS Makati,2,"6,350.00",T1951-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"12,700.00",,
,SO 00297,4/26/2023 0:00,T1959-1,Rustan's DS Makati,1,"4,350.00",T1959-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"4,350.00",T1959-1,
,SO 00296,4/26/2023 0:00,T18155-1,Rustan's DS Makati,1,"2,250.00",T18155-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"2,250.00",T18155-1,
,SO 00295,4/20/2023 0:00,T21103-1,Rustan's DS Makati,1,945,T21103-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,945,T21103-1,
,SO 00294,4/18/2023 0:00,T1547-5,Rustan's DS Makati,1,"3,850.00",T1547-5,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"3,850.00",T1547-5,
,SO 00293,4/16/2023 0:00,T18156-1,Rustan's DS Makati,1,"1,950.00",T18156-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,950.00",T18156-1,
,SO 00292,4/11/2023 0:00,T18202-1,Rustan's DS Makati,1,525,T18202-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,525,T18202-1,
,SO 00291,4/10/2023 0:00,T1949-1,Rustan's DS Makati,1,"6,350.00",T1949-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"6,350.00",T1949-1,
,SO 00290,4/9/2023 0:00,T21109-1,Rustan's DS Makati,1,"1,250.00",T21109-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,250.00",T21109-1,
,SO 00289,4/16/2023 0:00,T21103-1,Rustan's DS Ayala-Alabang,1,945,T21103-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,945,T21103-1,
,SO 00288,4/14/2023 0:00,T1960-1,Rustan's DS Ayala-Alabang,1,"4,350.00",T1960-1,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"4,350.00",T1960-1,
,SO 00287,4/12/2023 0:00,09319-140,Rustan's DS Ayala-Alabang,1,"4,750.00",09319-140,Quadro - Table Décor,,Inventory Audit,,Fully Invoiced,sale,1,,"4,750.00",,
,SO 00287,4/12/2023 0:00,T18161-1,Rustan's DS Ayala-Alabang,2,"1,450.00",T18161-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"2,900.00",T18161-1,
,SO 00286,4/10/2023 0:00,T21110-1,Rustan's DS Ayala-Alabang,1,"1,750.00",T21110-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,750.00",T21110-1,
,SO 00285,4/9/2023 0:00,709117-1S,Rustan's DS Ayala-Alabang,1,"1,750.00",709117-1S,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,"1,750.00",709117-1S,
,SO 00282,4/16/2023 0:00,M1856-22,Fiesta Home Lipa,1,"9,999.75",M1856-22,Quadro - Mirror,,Inventory Audit,,Fully Invoiced,sale,1,,"9,999.75",M1856-22,
,SO 00283,4/27/2023 0:00,M1708-19,Fiesta Home Lipa,1,"6,999.75",M1708-19,Quadro - Mirror,,Inventory Audit,,Fully Invoiced,sale,1,,"6,999.75",M1708-19,
,SO 00281,4/28/2023 0:00,M21029-29,Fiesta Home Batangas,1,"10,999.00",M21029-29,Quadro - Mirror,16.8,Inventory Audit,,Fully Invoiced,sale,1,,"10,999.00",,
,SO 00280,4/24/2023 0:00,M1705-12,Fiesta Home Batangas,0,0,M1705-12,Quadro - Mirror,7.3,Inventory Audit,,Fully Invoiced,sale,0,,,M1705-12,
,SO 00280,4/24/2023 0:00,M1705-19,Fiesta Home Batangas,1,"6,999.75",M1705-19,Quadro - Mirror,11.4,Inventory Audit,,Fully Invoiced,sale,1,,"6,999.75",M1705-19,
,SO 00279,4/21/2023 0:00,M1625-19,Fiesta Home Batangas,1,"6,999.75",M1625-19,Quadro - Mirror,12.8,Inventory Audit,,Fully Invoiced,sale,1,,"6,999.75",,
,SO 00279,4/21/2023 0:00,M21057-12,Fiesta Home Batangas,1,"3,999.00",M21057-12,Quadro - Mirror,7.05,Inventory Audit,,Fully Invoiced,sale,1,,"3,999.00",,
,SO 00279,4/21/2023 0:00,M1705-19,Fiesta Home Batangas,1,"6,999.75",M1705-19,Quadro - Mirror,11.4,Inventory Audit,,Fully Invoiced,sale,1,,"6,999.75",M1705-19,
,SO 00271,4/15/2023 0:00,RR14218-1-804,Rustan's FS Shangrila,2,135,RR14218-1-804,Arrangement,,Inventory Audit,,Fully Invoiced,sale,2,,270,,
,SO 00271,4/15/2023 0:00,A1556-1,Rustan's FS Shangrila,1,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,1,,49.5,A1556-1,
,SO 00270,4/15/2023 0:00,A1556-1,Rustan's FS Makati,2,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,2,,99,A1556-1,
,SO 00270,4/15/2023 0:00,A1556-1,Rustan's FS Makati,8,49.5,A1556-1,Quadro - Accessories,50g,Inventory Audit,,Fully Invoiced,sale,8,,396,A1556-1,
,SO 00270,4/15/2023 0:00,T1921-1,Rustan's FS Makati,1,399.75,T1921-1,Quadro - Table Décor,,Inventory Audit,,To Invoice,sale,0,,399.75,,
