id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,LHFL0504-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,"7,000.00"
,LHHE0504-1,Dominga Warehouse,DOM/Stock/G Office Hallway HW,"1,000.00"
,W19202-13,Dominga Warehouse,DOM/Stock,0.00
,W1562-61,Dominga Warehouse,DOM/Stock/Pull-out Area,4.00
,0414163-9,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,5021130-8,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,5021051-15BK,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,D15113-10,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,M1513-12,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,W15206-16,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,W1643-16,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,W1644-16,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,0524165-12,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,702005-1,Dominga Warehouse,DOM/Stock/Pull-out Area,7.00
,M1710-12,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,D1772-8,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,D1825-10,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,C1714-6,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,W18381-10,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,707107-4S,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,T1568-4,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,T1573-2,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,T16299-1WH,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,T1848-2,Dominga Warehouse,DOM/Stock/Pull-out Area,2.00
,T16229-1,Dominga Warehouse,DOM/Stock/Pull-out Area,8.00
,W21013-10,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,X19397-1JS,,K2/Packing Zone,4.00
,W21015-10,Dominga Warehouse,DOM/Stock/Pull-out Area,3.00
,D1839-10,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,0532012-6,Dominga Warehouse,DOM/Stock/Pull-out Area,1.00
,01005-1-404,,SRWH/Stock,3.00
,01007-1-405,,SRWH/Stock,7.00
,01008-1-405,,SRWH/Stock,3.00
,01010-1-405,,SRWH/Stock,2.00
,01011-1-405,,SRWH/Stock,5.00
,01012-1-405,,SRWH/Stock,17.00
,01013-1-405,,SRWH/Stock,25.00
,01016-234,,SRWH/Stock,11.00
,01018-234,,SRWH/Stock,19.00
,01019-234,,SRWH/Stock,27.00
,X15196-10,,SRWH/Stock,3.00
