id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,123376-3,OH Urdaneta,OHURD/Stock,1
,123378-3,OH Urdaneta,OHURD/Stock,1
,123379-3,OH Urdaneta,OHURD/Stock,1
,124044-15,OH Urdaneta,OHURD/Stock,1
,D1971-10,OH Urdaneta,OHURD/Stock,1
,124156-10,OH Sta. Rosa,OHSTR/Stock,1
,1324223-4,OH Sta. Rosa,OHSTR/Stock,1
,D1971-10,OH Sta. Rosa,OHSTR/Stock,1
,D1981-15,OH Sta. Rosa,OHSTR/Stock,1
,D20001-10,OH Sta. Rosa,OHSTR/Stock,1
,D21063-7G,OH Sta. Rosa,OHSTR/Stock,1
,123445-4,OH Baguio,OHBAG/Stock,1
,123507-4,OH Baguio,OHBAG/Stock,2
,123092-4,OH Baguio,OHBAG/Stock,2
,123093-4,OH Baguio,OHBAG/Stock,1
,123094-4,OH Baguio,OHBAG/Stock,1
,D1981-15,OH Clark,OHCLK/Stock,1
,123376-3,OH Clark,OHCLK/Stock,2
,123377-3,OH Clark,OHCLK/Stock,2
,123378-3,OH Clark,OHCLK/Stock,2
,123379-3,OH Clark,OHCLK/Stock,2
,123440-4,OH Clark,OHCLK/Stock,1
,123446-4,OH Clark,OHCLK/Stock,1
,123447-4,OH Clark,OHCLK/Stock,2
,123508-4,OH Clark,OHCLK/Stock,1
,123092-4,OH Clark,OHCLK/Stock,2
,123093-4,OH Clark,OHCLK/Stock,1
,123094-4,OH Clark,OHCLK/Stock,2
,124042-16,OH Clark,OHCLK/Stock,2
,124044-15,OH Clark,OHCLK/Stock,1
,825006-12,SMH Cubao,SMHCU/Stock,1
,825007-19,SMH Cubao,SMHCU/Stock,1
,1324270-8,SMH Cubao,SMHCU/Stock,1
,1324273-8,SMH Cubao,SMHCU/Stock,1
,D21032-8,SMH Cubao,SMHCU/Stock,1
,123411-12,SMH Cubao,SMHCU/Stock,1
,824029-13,SMH Cubao,SMHCU/Stock,1
,824030-20,SMH Cubao,SMHCU/Stock,1
,824033-13,SMH Cubao,SMHCU/Stock,1
,824046-20,SMH Cubao,SMHCU/Stock,1
,824050-20,SMH Cubao,SMHCU/Stock,1
