id,Product/Name,Partner Store,Location/Full Location Name,Quantity
,0524205-8,Dominga Warehouse,DOM/Stock/B4,1.00
,W21537-7,Dominga Warehouse,DOM/Stock/A5,2.00
,1PL21140,Dominga Warehouse,DOM/Stock/E4,37.00
,W21722-12,Dominga Warehouse,DOM/Stock/A4,1.00
,M21053-23,Dominga Warehouse,DOM/Stock/B4,1.00
,173039-4,Dominga Warehouse,DOM/Stock/B4,1.00
,1582269-3,Dominga Warehouse,DOM/Stock/B4,1.00
,502808-5,Dominga Warehouse,DOM/Stock/B4,1.00
,W1540-5,Dominga Warehouse,DOM/Stock/B4,1.00
,173013-4,Dominga Warehouse,DOM/Stock/B4,1.00
,523006-10,Dominga Warehouse,DOM/Stock,-1.00
,523006-10,Dominga Warehouse,GIP/Stock/A2,1.00
,C1726-7,Dominga Warehouse,DOM/Stock/G DONE REPAIR,-1.00
,C1838-5,Dominga Warehouse,DOM/Stock/G DONE REPAIR,-1.00
,C1574-10,Dominga Warehouse,DOM/Stock/G DONE REPAIR,-1.00
,C1714-6,Dominga Warehouse,DOM/Stock/G DONE REPAIR,-1.00
,1791966-17,Dominga Warehouse,DOM/Stock/A4,3.00
,1791969-17,Dominga Warehouse,DOM/Stock/A4,1.00
,1791971-17,Dominga Warehouse,DOM/Stock/A4,4.00
,1796652-5,Dominga Warehouse,DOM/Stock/A4,3.00
,1792104-6,Dominga Warehouse,GIP/Stock/B2,1.00
,M21020-4,Dominga Warehouse,DOM/Stock/C6,1.00
,0421866-5,Dominga Warehouse,GIP/Stock/C2,1.00
,1791860-6,Dominga Warehouse,GIP/Stock/C2,2.00
,1791989-6,Dominga Warehouse,GIP/Stock/C2,1.00
,1791991-6,Dominga Warehouse,GIP/Stock/C2,1.00
,1791999-4BK,Dominga Warehouse,GIP/Stock/C2,2.00
,1792000-4WH,Dominga Warehouse,GIP/Stock/C2,3.00
,1792009-4RD,Dominga Warehouse,GIP/Stock/C2,1.00
,1792011-4RD,Dominga Warehouse,GIP/Stock/C2,2.00
,1792101-6BK,Dominga Warehouse,GIP/Stock/C2,1.00
,1792107-6BK,Dominga Warehouse,GIP/Stock/C2,2.00
,1796634-5,Dominga Warehouse,GIP/Stock/C2,1.00
,502988-10,Dominga Warehouse,DOM/Stock/B4,5.00
,1791979-5,Dominga Warehouse,GIP/Stock/C2,1.00
,179644-6,Dominga Warehouse,GIP/Stock/C2,4.00
,1PL19002-14,Dominga Warehouse,DOM/Stock/E4,1.00
,M1703-19,Dominga Warehouse,DOM/Stock/A5,0.00
,M21057-12,Dominga Warehouse,DOM/Stock/A5,0.00
,M1656-19,Dominga Warehouse,DOM/Stock/C6,3.00
,1635053-1,Dominga Warehouse,DOM/Stock/B4,1.00
,1635055-1,Dominga Warehouse,DOM/Stock/B4,1.00
,0521616-7,Dominga Warehouse,DOM/Stock/B4,1.00
,SD1764-8,Dominga Warehouse,DOM/Stock/B4,0.00
,RW19115-6,Dominga Warehouse,DOM/Stock/B4,1.00
,0371179-6BK,Dominga Warehouse,DOM/Stock/B4,1.00
,1196849-4,Dominga Warehouse,DOM/Stock/B4,1.00
,162617-9,Dominga Warehouse,DOM/Stock/B4,1.00
,D15171-6,Dominga Warehouse,DOM/Stock/B4,1.00
,5011138-8,Dominga Warehouse,DOM/Stock/B4,1.00
,5021130-8,Dominga Warehouse,DOM/Stock/B4,1.00
,M1641-11,Dominga Warehouse,DOM/Stock,2.00
,5021144-17,Dominga Warehouse,DOM/Stock,1.00
,5011134-6,Dominga Warehouse,DOM/Stock/B4,1.00
,502863-16,Dominga Warehouse,DOM/Stock/B4,0.00
,5021126-10,Dominga Warehouse,DOM/Stock,1.00
,5021127-10,Dominga Warehouse,DOM/Stock/B4,1.00
,502988-10,Dominga Warehouse,GIP/Stock/A2,-1.00
,M1802-7,Dominga Warehouse,DOM/Stock/B4,0.00
,M1826-11,Dominga Warehouse,DOM/Stock/B4,0.00
,1322070-10,Dominga Warehouse,DOM/Stock/B5,0.00
,T16347-1,Dominga Warehouse,DOM/Stock/A6,-1.00
,D1612-6,Dominga Warehouse,DOM/Stock/A6,0.00
,D1613-6,Dominga Warehouse,DOM/Stock,0.00
,T18205-1,Dominga Warehouse,DOM/Stock/A6,-1.00
,T21159-1,Dominga Warehouse,DOM/Stock/A6,-2.00
,T20025-1,Dominga Warehouse,DOM/Stock/A6,-7.00
,501382-6,Dominga Warehouse,DOM/Stock,0.00
,1584324-4,Dominga Warehouse,DOM/Stock,0.00
,1501643-2,Dominga Warehouse,DOM/Stock,0.00
,T20021-1,Dominga Warehouse,DOM/Stock,1.00
,09215-1-201,Dominga Warehouse,DOM/Stock/A6,-1.00
,T15174-1,Dominga Warehouse,DOM/Stock/A6,-1.00
,0532859-5,Dominga Warehouse,DOM/Stock,0.00
,0372692-6,Dominga Warehouse,DOM/Stock/C4,0.00
,1324592-5,Dominga Warehouse,DOM/Stock,0.00
,RD16410-4,Dominga Warehouse,DOM/Stock,0.00
,1191511-3,Dominga Warehouse,DOM/Stock/C4,0.00
